,rk,g,date,unnamed: 3_level_1,opp,w/l,tm,opp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,trb,ast,stl,blk,tov,pf,unnamed: 24_level_1,opp_fg,opp_fga,opp_fg%,opp_3p,opp_3pa,opp_3p%,opp_ft,opp_fta,opp_ft%,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,season,team
20,,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2023,MIL
21,Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2023,MIL
22,21,21,2021-02-03,,IND,W,130,110,48,102,.471,21,48,.438,13,14,.929,11,53,33,13,7,12,11,,43,95,.453,11,34,.324,13,15,.867,8,46,28,7,6,14,13,2023,MIL
23,22,22,2021-02-05,@,CLE,W,123,105,50,97,.515,7,22,.318,16,22,.727,13,54,28,6,7,11,18,,41,92,.446,11,32,.344,12,16,.750,6,36,23,7,9,11,19,2023,MIL
24,23,23,2021-02-06,@,CLE,W,124,99,47,86,.547,16,34,.471,14,23,.609,6,43,25,10,2,8,20,,39,86,.453,6,28,.214,15,21,.714,8,40,21,4,1,13,19,2023,MIL
25,24,24,2021-02-08,@,DEN,W,125,112,45,89,.506,16,40,.400,19,22,.864,11,50,24,7,7,10,19,,41,94,.436,15,36,.417,15,16,.938,8,38,22,5,4,9,15,2023,MIL
26,25,25,2021-02-10,@,PHO,L,124,125,43,85,.506,16,37,.432,22,30,.733,10,39,23,6,0,9,21,,46,87,.529,15,31,.484,18,25,.720,12,47,25,7,2,11,19,2023,MIL
27,26,26,2021-02-12,@,UTA,L,115,129,42,92,.457,12,33,.364,19,27,.704,6,33,19,8,6,10,28,,43,82,.524,14,38,.368,29,34,.853,7,46,22,4,5,17,22,2023,MIL
28,27,27,2021-02-14,@,OKC,L,109,114,45,97,.464,13,38,.342,6,9,.667,12,47,24,9,5,14,16,,45,95,.474,15,36,.417,9,16,.563,12,49,32,8,1,13,14,2023,MIL
29,28,28,2021-02-16,,TOR,L,113,124,40,83,.482,14,37,.378,19,25,.760,5,41,25,10,5,17,17,,46,91,.505,17,43,.395,15,21,.714,8,44,25,8,6,15,18,2023,MIL
30,29,29,2021-02-18,,TOR,L,96,110,35,88,.398,10,34,.294,16,23,.696,15,52,23,6,2,15,23,,38,78,.487,12,35,.343,22,23,.957,2,37,26,6,6,9,21,2023,MIL
31,30,30,2021-02-19,,OKC,W,98,85,35,86,.407,11,34,.324,17,25,.680,11,61,23,5,6,12,18,,31,85,.365,12,40,.300,11,21,.524,8,46,20,4,5,10,23,2023,MIL
32,31,31,2021-02-21,,SAC,W,128,115,44,90,.489,11,28,.393,29,36,.806,14,56,22,8,5,17,19,,44,100,.440,12,33,.364,15,20,.750,14,43,29,6,3,12,26,2023,MIL
33,32,32,2021-02-23,,MIN,W,139,112,53,99,.535,20,42,.476,13,18,.722,9,52,33,11,5,8,13,,42,98,.429,19,54,.352,9,9,1.000,7,43,35,4,5,14,16,2023,MIL
34,33,33,2021-02-25,,NOP,W,129,125,52,96,.542,13,31,.419,12,16,.750,8,42,21,4,8,9,13,,51,102,.500,13,39,.333,10,14,.714,12,47,32,5,4,9,17,2023,MIL
35,34,34,2021-02-28,,LAC,W,105,100,38,85,.447,12,38,.316,17,22,.773,8,48,21,7,5,11,11,,40,97,.412,14,44,.318,6,7,.857,13,49,20,7,3,8,19,2023,MIL
36,35,35,2021-03-02,,DEN,L,97,128,32,79,.405,11,40,.275,22,31,.710,11,40,22,4,4,13,18,,53,95,.558,11,30,.367,11,12,.917,9,45,28,10,3,10,19,2023,MIL
37,36,36,2021-03-04,@,MEM,W,112,111,42,95,.442,10,34,.294,18,22,.818,13,52,21,11,5,16,19,,40,101,.396,8,34,.235,23,24,.958,17,56,21,13,8,12,20,2023,MIL
38,37,37,2021-03-11,,NYK,W,134,101,50,87,.575,18,38,.474,16,17,.941,5,43,29,9,9,12,18,,37,88,.420,13,37,.351,14,21,.667,10,38,19,3,5,14,19,2023,MIL
39,38,38,2021-03-13,@,WAS,W,125,119,43,99,.434,17,45,.378,22,25,.880,13,57,33,9,3,18,19,,43,94,.457,16,41,.390,17,22,.773,6,41,25,9,2,15,20,2023,MIL
40,39,39,2021-03-15,@,WAS,W,133,122,52,94,.553,11,28,.393,18,19,.947,9,46,29,6,5,16,20,,44,87,.506,16,38,.421,18,24,.750,2,33,34,5,1,14,18,2023,MIL
41,40,40,2021-03-17,@,PHI,W,109,105,41,101,.406,9,39,.231,18,24,.750,12,58,22,11,1,22,11,,43,109,.394,14,41,.341,5,8,.625,13,59,28,14,7,20,23,2023,MIL
42,,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2023,MIL
43,Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2023,MIL
44,41,41,2021-03-20,,SAS,W,120,113,45,92,.489,14,38,.368,16,18,.889,6,49,24,5,3,11,11,,46,96,.479,12,33,.364,9,10,.900,5,41,29,6,4,9,11,2023,MIL
45,42,42,2021-03-22,,IND,W,140,113,53,94,.564,24,39,.615,10,15,.667,8,55,35,3,5,15,16,,45,111,.405,12,50,.240,11,12,.917,11,40,27,8,3,6,16,2023,MIL
46,43,43,2021-03-24,,BOS,W,121,119,45,90,.500,17,37,.459,14,20,.700,13,46,19,8,5,16,14,,45,94,.479,19,47,.404,10,10,1.000,9,38,24,9,6,12,15,2023,MIL
47,44,44,2021-03-26,,BOS,L,114,122,44,99,.444,19,47,.404,7,11,.636,16,49,24,7,3,16,16,,43,88,.489,22,47,.468,14,16,.875,8,44,27,10,8,14,16,2023,MIL
48,45,45,2021-03-27,,NYK,L,96,102,36,87,.414,14,36,.389,10,16,.625,15,48,21,11,7,16,11,,40,93,.430,16,44,.364,6,8,.750,12,44,28,9,11,14,19,2023,MIL
49,46,46,2021-03-29,@,LAC,L,105,129,38,81,.469,11,30,.367,18,21,.857,5,32,18,8,4,12,14,,51,95,.537,19,34,.559,8,10,.800,13,46,25,5,2,12,15,2023,MIL
50,47,47,2021-03-31,@,LAL,W,112,97,42,79,.532,14,26,.538,14,18,.778,7,42,23,13,8,21,17,,35,87,.402,10,36,.278,17,22,.773,11,40,22,9,5,22,22,2023,MIL
51,48,48,2021-04-02,@,POR,W,127,109,49,90,.544,12,39,.308,17,19,.895,4,50,25,7,5,15,18,,36,99,.364,21,54,.389,16,22,.727,13,45,19,11,3,13,18,2023,MIL
52,49,49,2021-04-03,@,SAC,W,129,128,50,93,.538,11,31,.355,18,20,.900,12,47,31,10,3,13,15,,49,99,.495,17,39,.436,13,13,1.000,12,40,31,7,4,12,17,2023,MIL
53,50,50,2021-04-06,@,GSW,L,121,122,44,86,.512,14,32,.438,19,22,.864,6,40,25,7,2,14,13,,46,96,.479,15,40,.375,15,17,.882,12,42,28,6,5,11,18,2023,MIL
54,51,51,2021-04-08,@,DAL,L,101,116,38,100,.380,12,33,.364,13,16,.813,14,52,16,8,1,9,20,,43,97,.443,17,45,.378,13,18,.722,15,56,23,6,8,11,15,2023,MIL
55,52,52,2021-04-09,,CHO,L,119,127,44,98,.449,14,38,.368,17,23,.739,13,48,23,10,3,17,14,,44,91,.484,19,50,.380,20,22,.909,13,49,35,4,10,18,19,2023,MIL
56,53,53,2021-04-11,@,ORL,W,124,87,46,94,.489,19,40,.475,13,15,.867,12,56,28,8,7,11,15,,32,86,.372,8,36,.222,15,19,.789,7,37,19,8,6,14,13,2023,MIL
57,54,54,2021-04-14,@,MIN,W,130,105,46,98,.469,19,40,.475,19,23,.826,7,52,26,14,4,16,20,,34,92,.370,15,41,.366,22,31,.710,10,47,22,13,7,16,17,2023,MIL
58,55,55,2021-04-15,@,ATL,W,120,109,46,95,.484,16,43,.372,12,17,.706,14,51,25,8,1,8,16,,39,86,.453,14,34,.412,17,19,.895,8,39,23,5,4,11,15,2023,MIL
59,56,56,2021-04-17,,MEM,L,115,128,39,91,.429,16,47,.340,21,27,.778,13,45,27,7,1,16,8,,51,93,.548,15,40,.375,11,12,.917,7,43,31,10,3,10,18,2023,MIL
60,57,57,2021-04-19,,PHO,L,127,128,49,102,.480,11,34,.324,18,19,.947,9,51,19,7,3,11,15,,51,106,.481,17,42,.405,9,10,.900,8,45,28,7,4,11,16,2023,MIL
61,58,58,2021-04-22,,PHI,W,124,117,45,81,.556,20,40,.500,14,23,.609,6,45,32,6,8,16,16,,46,91,.505,12,27,.444,13,18,.722,7,33,27,7,3,8,17,2023,MIL
62,59,59,2021-04-24,,PHI,W,132,94,49,95,.516,18,40,.450,16,24,.667,16,55,33,10,4,15,28,,31,82,.378,7,31,.226,25,34,.735,10,41,15,11,4,17,20,2023,MIL
63,60,60,2021-04-25,@,ATL,L,104,111,39,81,.481,8,28,.286,18,23,.783,4,41,20,6,6,12,18,,40,88,.455,13,35,.371,18,23,.783,5,44,23,6,1,9,20,2023,MIL
64,,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2023,MIL
65,Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2023,MIL
66,61,61,2021-04-27,@,CHO,W,114,104,47,93,.505,9,35,.257,11,14,.786,9,48,28,13,3,15,24,,38,82,.463,12,35,.343,16,23,.696,7,38,26,6,7,17,17,2023,MIL
67,62,62,2021-04-29,@,HOU,L,136,143,49,93,.527,16,39,.410,22,25,.880,8,38,27,12,5,14,21,,49,98,.500,25,46,.543,20,24,.833,16,52,23,6,6,18,23,2023,MIL
68,63,63,2021-04-30,@,CHI,W,108,98,42,90,.467,9,25,.360,15,20,.750,8,51,24,5,5,10,19,,37,96,.385,10,33,.303,14,21,.667,14,50,23,5,5,10,18,2023,MIL
69,64,64,2021-05-02,,BRK,W,117,114,48,98,.490,15,37,.405,6,12,.500,8,45,19,9,11,10,18,,41,96,.427,17,42,.405,15,17,.882,14,53,18,5,1,16,11,2023,MIL
70,65,65,2021-05-04,,BRK,W,124,118,44,98,.449,14,37,.378,22,27,.815,15,55,23,7,3,12,21,,41,84,.488,20,43,.465,16,26,.615,6,39,21,6,6,13,25,2023,MIL
71,66,66,2021-05-05,,WAS,W,135,134,48,89,.539,18,37,.486,21,28,.750,10,45,30,4,6,19,31,,47,96,.490,8,22,.364,32,43,.744,11,43,27,6,6,7,23,2023,MIL
72,67,67,2021-05-07,,HOU,W,141,133,51,95,.537,19,46,.413,20,23,.870,13,53,30,8,5,17,14,,48,96,.500,25,53,.472,12,18,.667,7,37,36,10,5,16,21,2023,MIL
73,68,68,2021-05-10,@,SAS,L,125,146,47,94,.500,13,41,.317,18,23,.783,8,34,26,6,6,7,13,,56,94,.596,17,29,.586,17,21,.810,9,46,27,6,5,12,16,2023,MIL
74,69,69,2021-05-11,,ORL,W,114,102,43,101,.426,8,33,.242,20,27,.741,17,63,16,10,1,9,15,,39,94,.415,10,30,.333,14,20,.700,10,52,18,6,2,12,20,2023,MIL
75,70,70,2021-05-13,@,IND,W,142,133,54,94,.574,11,30,.367,23,31,.742,10,51,34,5,6,12,10,,50,110,.455,21,43,.488,12,15,.800,12,40,34,6,2,7,22,2023,MIL
