,rk,g,date,unnamed: 3_level_1,opp,w/l,tm,opp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,trb,ast,stl,blk,tov,pf,unnamed: 24_level_1,opp_fg,opp_fga,opp_fg%,opp_3p,opp_3pa,opp_3p%,opp_ft,opp_fta,opp_ft%,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,season,team
80,75,75,2024-04-02,@,PHI,L,105,109,37,87,.425,13,39,.333,18,22,.818,12,43,30,10,9,14,18,,36,78,.462,14,30,.467,23,25,.920,9,42,27,8,4,16,20,2024,OKC
81,76,76,2024-04-03,@,BOS,L,100,135,35,81,.432,5,24,.208,25,28,.893,5,31,21,8,5,13,11,,50,92,.543,17,40,.425,18,19,.947,11,46,33,7,10,10,18,2024,OKC
82,77,77,2024-04-05,@,IND,L,112,126,42,86,.488,8,30,.267,20,24,.833,9,39,24,8,6,15,17,,46,88,.523,15,35,.429,19,21,.905,8,39,30,8,5,13,23,2024,OKC
83,78,78,2024-04-07,@,CHO,W,121,118,45,87,.517,18,36,.500,13,17,.765,10,36,33,14,4,16,17,,45,83,.542,17,40,.425,11,14,.786,7,36,29,12,9,18,14,2024,OKC
84,79,79,2024-04-09,,SAC,W,112,105,39,80,.488,11,30,.367,23,31,.742,6,42,21,11,8,13,18,,33,96,.344,20,58,.345,19,26,.731,21,56,23,8,4,17,22,2024,OKC
85,80,80,2024-04-10,,SAS,W,127,89,47,101,.465,16,38,.421,17,21,.810,7,62,33,12,6,12,16,,32,96,.333,9,40,.225,16,20,.800,4,47,24,8,4,15,14,2024,OKC
86,,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2024,OKC
87,Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2024,OKC
88,81,81,2024-04-12,,MIL,W,125,107,47,89,.528,13,38,.342,18,20,.900,8,38,29,13,5,10,12,,42,85,.494,11,30,.367,12,13,.923,8,42,27,7,3,17,15,2024,OKC
89,82,82,2024-04-14,,DAL,W,135,86,54,97,.557,14,34,.412,13,16,.813,11,58,38,6,6,14,17,,32,97,.330,8,39,.205,14,17,.824,12,41,19,8,2,14,15,2024,OKC
