,id,rk,g,date,unnamed: 3_level_1,opp,w/l,tm,opp.1,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,trb,ast,stl,blk,tov,pf,opp_fg,opp_fga,opp_fg%,opp_3p,opp_3pa,opp_3p%,opp_ft,opp_fta,opp_ft%,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,season,team
205,25,24,24,2023-12-16,@,DEN,W,118,117,43,84,.512,7,21,.333,25,30,.833,9,40,22,4,9,10,19,42,93,.452,12,32,.375,21,24,.875,16,46,30,5,0,9,22,2024,OKC
206,26,25,25,2023-12-18,,MEM,W,116,97,42,92,.457,11,36,.306,21,23,.913,10,53,31,11,10,12,18,30,85,.353,19,54,.352,18,21,.857,7,45,25,6,3,22,19,2024,OKC
207,27,26,26,2023-12-21,,LAC,W,134,115,51,87,.586,16,34,.471,16,18,.889,6,38,35,9,5,11,11,44,93,.473,17,43,.395,10,12,.833,12,40,23,9,5,15,18,2024,OKC
208,28,27,27,2023-12-23,,LAL,L,120,129,46,95,.484,13,41,.317,15,19,.789,11,42,24,6,7,9,17,47,90,.522,16,32,.500,19,23,.826,8,44,37,7,7,9,13,2024,OKC
209,29,28,28,2023-12-26,,MIN,W,129,106,49,81,.605,18,39,.462,13,16,.813,3,29,35,9,7,11,24,34,73,.466,12,27,.444,26,32,.813,8,34,22,8,1,21,16,2024,OKC
210,30,29,29,2023-12-27,,NYK,W,129,120,49,90,.544,14,32,.438,17,22,.773,3,27,20,6,10,4,21,41,82,.500,14,34,.412,24,30,.800,9,40,24,2,2,18,21,2024,OKC
211,31,30,30,2023-12-29,@,DEN,W,119,93,46,91,.505,12,35,.343,15,16,.938,10,51,29,10,8,11,20,36,85,.424,10,37,.270,11,15,.733,5,36,30,6,5,16,17,2024,OKC
212,32,31,31,2023-12-31,,BRK,W,124,108,45,83,.542,18,33,.545,16,20,.800,5,46,31,1,6,13,24,38,100,.380,12,46,.261,20,31,.645,17,47,26,9,2,6,21,2024,OKC
213,33,32,32,2024-01-02,,BOS,W,127,123,48,91,.527,18,40,.450,13,17,.765,10,38,34,7,10,10,22,42,92,.457,15,40,.375,24,29,.828,17,47,33,7,10,14,15,2024,OKC
214,34,33,33,2024-01-03,@,ATL,L,138,141,50,91,.549,18,36,.500,20,26,.769,9,37,30,10,1,13,23,48,95,.505,14,39,.359,31,33,.939,15,49,30,8,5,11,21,2024,OKC
215,35,34,34,2024-01-05,@,BRK,L,115,124,45,84,.536,9,31,.290,16,24,.667,7,36,29,8,5,13,26,41,91,.451,14,39,.359,28,33,.848,20,51,25,9,3,15,24,2024,OKC
216,36,35,35,2024-01-08,@,WAS,W,136,128,52,88,.591,14,28,.500,18,24,.750,10,40,37,11,7,14,21,44,89,.494,15,32,.469,25,29,.862,12,38,32,7,5,14,23,2024,OKC
217,37,36,36,2024-01-10,@,MIA,W,128,120,51,86,.593,14,33,.424,12,16,.750,4,42,36,4,4,12,19,41,89,.461,15,36,.417,23,28,.821,8,38,25,8,3,10,13,2024,OKC
218,38,37,37,2024-01-11,,POR,W,139,77,53,93,.570,14,35,.400,19,22,.864,8,59,41,6,8,12,10,28,101,.277,11,49,.224,10,16,.625,13,42,16,8,8,9,19,2024,OKC
219,39,38,38,2024-01-13,,ORL,W,112,100,43,94,.457,8,36,.222,18,21,.857,12,46,23,9,4,8,19,39,84,.464,7,35,.200,15,24,.625,11,50,21,5,8,15,22,2024,OKC
220,40,39,39,2024-01-15,@,LAL,L,105,112,40,96,.417,15,49,.306,10,11,.909,13,40,23,11,6,11,18,44,84,.524,8,24,.333,16,18,.889,8,44,30,7,9,17,12,2024,OKC
