,id,rk,g,date,unnamed: 3_level_1,opp,w/l,tm,opp.1,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,trb,ast,stl,blk,tov,pf,opp_fg,opp_fga,opp_fg%,opp_3p,opp_3pa,opp_3p%,opp_ft,opp_fta,opp_ft%,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,season,team
3505,85,80,80,2023-04-05,,CHI,W,105,92,39,92,.424,18,46,.391,9,11,.818,13,53,26,7,3,12,13,36,83,.434,11,33,.333,9,11,.818,5,38,28,10,3,15,11,2023,MIL
3508,88,81,81,2023-04-07,,MEM,L,114,137,42,92,.457,21,49,.429,9,11,.818,11,38,30,5,3,17,15,53,93,.570,20,42,.476,11,15,.733,11,44,39,9,6,12,20,2023,MIL
3509,89,82,82,2023-04-09,@,TOR,L,105,121,38,82,.463,12,34,.353,17,21,.810,7,38,28,5,2,14,13,48,95,.505,11,33,.333,14,16,.875,7,45,29,8,2,9,19,2023,MIL
3510,0,1,1,2022-10-19,,WAS,L,107,114,39,97,.402,15,42,.357,14,21,.667,12,42,21,7,5,15,20,42,92,.457,11,31,.355,19,24,.792,14,53,21,5,10,16,19,2023,IND
3511,1,2,2,2022-10-21,,SAS,L,134,137,51,104,.490,11,35,.314,21,22,.955,14,42,32,8,6,16,34,44,81,.543,17,31,.548,32,44,.727,7,37,34,9,4,17,22,2023,IND
3512,2,3,3,2022-10-22,,DET,W,124,115,45,103,.437,16,42,.381,18,24,.750,20,59,28,7,15,11,21,37,95,.389,18,42,.429,23,30,.767,17,53,26,5,3,13,20,2023,IND
3513,3,4,4,2022-10-24,@,PHI,L,106,120,38,90,.422,12,44,.273,18,23,.783,14,47,27,3,4,13,23,38,80,.475,19,43,.442,25,28,.893,7,39,25,8,7,7,20,2023,IND
3514,4,5,5,2022-10-26,@,CHI,L,109,124,37,86,.430,16,40,.400,19,24,.792,6,38,31,5,12,16,18,43,87,.494,16,30,.533,22,24,.917,9,44,34,10,5,17,25,2023,IND
3515,5,6,6,2022-10-28,@,WAS,W,127,117,41,81,.506,15,29,.517,30,33,.909,5,41,30,4,7,13,19,41,86,.477,12,30,.400,23,28,.821,9,38,25,5,3,13,23,2023,IND
3516,6,7,7,2022-10-29,@,BRK,W,125,116,40,94,.426,23,46,.500,22,26,.846,17,53,31,7,1,10,25,41,82,.500,14,39,.359,20,26,.769,6,34,29,6,9,9,20,2023,IND
3517,7,8,8,2022-10-31,@,BRK,L,109,116,41,87,.471,11,39,.282,16,23,.696,10,38,23,11,5,24,24,43,80,.538,11,30,.367,19,20,.950,6,39,26,11,9,19,18,2023,IND
3518,8,9,9,2022-11-04,,MIA,W,101,99,37,80,.463,12,39,.308,15,23,.652,5,42,28,7,5,19,19,31,81,.383,11,39,.282,26,26,1.000,8,42,17,10,2,19,22,2023,IND
3519,9,10,10,2022-11-07,,NOP,W,129,122,43,86,.500,22,48,.458,21,23,.913,10,45,33,6,8,17,19,48,97,.495,14,34,.412,12,17,.706,13,43,32,7,4,10,20,2023,IND
3520,10,11,11,2022-11-09,,DEN,L,119,122,45,96,.469,14,42,.333,15,19,.789,11,44,28,9,5,18,23,43,88,.489,12,28,.429,24,26,.923,11,47,27,10,7,20,15,2023,IND
3521,11,12,12,2022-11-12,,TOR,W,118,104,41,82,.500,19,43,.442,17,23,.739,11,51,33,4,6,21,23,37,94,.394,7,35,.200,23,29,.793,16,43,14,12,8,12,18,2023,IND
3522,12,13,13,2022-11-16,@,CHO,W,125,113,44,82,.537,11,28,.393,26,31,.839,7,34,27,11,9,12,18,43,94,.457,12,33,.364,15,18,.833,14,44,29,8,4,17,23,2023,IND
3523,13,14,14,2022-11-18,@,HOU,W,99,91,33,82,.402,12,41,.293,21,27,.778,12,45,25,8,10,15,26,29,86,.337,6,28,.214,27,32,.844,14,49,15,8,4,17,24,2023,IND
3524,14,15,15,2022-11-19,,ORL,W,114,113,41,90,.456,18,46,.391,14,19,.737,12,42,27,5,6,15,18,39,91,.429,16,42,.381,19,26,.731,11,41,16,8,6,9,17,2023,IND
3525,15,16,16,2022-11-21,,ORL,W,123,102,43,86,.500,13,46,.283,24,27,.889,12,48,32,9,5,21,23,36,85,.424,11,35,.314,19,25,.760,12,38,20,10,2,17,25,2023,IND
3526,16,17,17,2022-11-23,,MIN,L,101,115,37,96,.385,16,44,.364,11,16,.688,13,30,25,16,5,13,16,47,77,.610,8,22,.364,13,17,.765,8,50,31,9,10,23,18,2023,IND
3527,17,18,18,2022-11-25,,BRK,W,128,117,43,86,.500,12,34,.353,30,38,.789,5,41,28,13,4,9,11,47,88,.534,15,41,.366,8,10,.800,5,38,27,2,8,18,28,2023,IND
3528,18,19,19,2022-11-27,@,LAC,L,100,114,36,94,.383,9,42,.214,19,23,.826,9,39,23,14,4,11,28,42,94,.447,6,32,.188,24,32,.750,18,62,33,7,4,18,18,2023,IND
3529,19,20,20,2022-11-28,@,LAL,W,116,115,43,105,.410,17,49,.347,13,16,.813,12,49,29,6,10,9,24,40,93,.430,11,31,.355,24,31,.774,18,57,23,3,7,14,16,2023,IND
3532,22,21,21,2022-11-30,@,SAC,L,114,137,40,100,.400,12,37,.324,22,30,.733,12,47,28,8,5,15,21,48,95,.505,16,43,.372,25,29,.862,11,58,28,8,5,18,25,2023,IND
3533,23,22,22,2022-12-02,@,UTA,L,119,139,40,92,.435,12,34,.353,27,33,.818,9,35,25,12,5,18,35,46,83,.554,15,34,.441,32,37,.865,8,47,29,7,2,24,28,2023,IND
3534,24,23,23,2022-12-04,@,POR,L,100,116,40,91,.440,10,33,.303,10,12,.833,12,44,22,10,5,15,22,42,86,.488,17,40,.425,15,22,.682,11,45,32,10,3,15,17,2023,IND
3535,25,24,24,2022-12-05,@,GSW,W,112,104,43,90,.478,15,39,.385,11,18,.611,7,47,26,3,8,11,18,38,94,.404,13,44,.295,15,19,.789,12,47,26,6,6,12,19,2023,IND
3536,26,25,25,2022-12-07,@,MIN,L,115,121,39,81,.481,19,42,.452,18,24,.750,4,31,22,10,4,19,17,44,93,.473,8,23,.348,25,27,.926,16,51,25,15,2,21,21,2023,IND
3537,27,26,26,2022-12-09,,WAS,W,121,111,43,85,.506,18,41,.439,17,20,.850,13,40,23,7,2,11,21,41,77,.532,10,29,.345,19,25,.760,12,38,25,6,3,14,19,2023,IND
3538,28,27,27,2022-12-10,,BRK,L,133,136,47,85,.553,21,44,.477,18,24,.750,7,30,30,10,3,18,27,52,100,.520,9,28,.321,23,32,.719,29,59,19,7,3,18,24,2023,IND
3539,29,28,28,2022-12-12,,MIA,L,82,87,28,79,.354,11,39,.282,15,20,.750,8,45,16,7,11,15,18,32,83,.386,9,34,.265,14,18,.778,9,48,23,7,2,13,17,2023,IND
3540,30,29,29,2022-12-14,,GSW,W,125,119,44,87,.506,16,39,.410,21,25,.840,5,34,30,10,8,17,25,40,86,.465,14,33,.424,25,29,.862,12,46,27,5,4,23,20,2023,IND
3541,31,30,30,2022-12-16,@,CLE,L,112,118,42,80,.525,11,36,.306,17,19,.895,5,33,34,6,4,10,22,38,76,.500,14,31,.452,28,32,.875,6,34,23,6,2,8,15,2023,IND
3542,32,31,31,2022-12-18,,NYK,L,106,109,39,90,.433,13,38,.342,15,23,.652,12,44,20,5,3,14,28,39,83,.470,8,26,.308,23,30,.767,14,49,13,7,9,16,21,2023,IND
3543,33,32,32,2022-12-21,@,BOS,W,117,112,46,98,.469,18,39,.462,7,9,.778,12,47,27,10,3,14,22,39,101,.386,13,41,.317,21,25,.840,25,62,26,11,5,16,9,2023,IND
3544,34,33,33,2022-12-23,@,MIA,W,111,108,40,83,.482,21,47,.447,10,14,.714,9,43,26,5,6,16,23,41,95,.432,13,33,.394,13,14,.929,13,38,23,7,3,10,13,2023,IND
3545,35,34,34,2022-12-26,@,NOP,L,93,113,35,83,.422,9,35,.257,14,20,.700,6,36,23,9,5,13,18,41,90,.456,12,40,.300,19,24,.792,16,54,30,10,6,14,19,2023,IND
3546,36,35,35,2022-12-27,,ATL,W,129,114,47,92,.511,13,35,.371,22,27,.815,7,49,28,3,2,10,16,40,89,.449,12,30,.400,22,29,.759,9,42,26,4,3,9,19,2023,IND
3547,37,36,36,2022-12-29,,CLE,W,135,126,48,85,.565,19,31,.613,20,21,.952,4,32,28,6,8,8,18,50,96,.521,12,28,.429,14,20,.700,17,44,29,7,4,10,17,2023,IND
3548,38,37,37,2022-12-31,,LAC,W,131,130,46,88,.523,14,38,.368,25,29,.862,8,36,28,10,4,11,20,43,80,.538,16,34,.471,28,29,.966,8,39,23,7,6,15,23,2023,IND
3549,39,38,38,2023-01-02,,TOR,W,122,114,45,93,.484,10,27,.370,22,26,.846,15,50,24,4,2,12,19,41,91,.451,14,42,.333,18,23,.783,12,36,26,5,11,11,27,2023,IND
3550,40,39,39,2023-01-04,@,PHI,L,126,129,45,95,.474,13,36,.361,23,26,.885,13,45,31,7,8,13,18,48,98,.490,14,36,.389,19,22,.864,14,46,24,4,7,9,19,2023,IND
3551,41,40,40,2023-01-06,,POR,W,108,99,38,84,.452,7,25,.280,25,28,.893,4,41,22,11,6,12,22,38,94,.404,9,33,.273,14,17,.824,12,52,30,5,1,18,19,2023,IND
3554,44,41,41,2023-01-08,,CHO,W,116,111,38,87,.437,13,38,.342,27,33,.818,8,41,27,14,7,16,22,38,88,.432,11,33,.333,24,27,.889,13,49,25,8,4,18,26,2023,IND
3555,45,42,42,2023-01-11,@,NYK,L,113,119,43,90,.478,12,39,.308,15,21,.714,8,41,27,8,5,13,25,38,84,.452,15,42,.357,28,33,.848,12,50,21,9,4,12,16,2023,IND
3556,46,43,43,2023-01-13,,ATL,L,111,113,40,101,.396,7,30,.233,24,29,.828,19,51,24,8,9,12,22,41,94,.436,16,33,.485,15,21,.714,14,50,26,6,9,13,22,2023,IND
3557,47,44,44,2023-01-14,,MEM,L,112,130,38,103,.369,11,47,.234,25,28,.893,16,49,26,5,8,19,20,48,87,.552,12,32,.375,22,28,.786,7,45,32,11,8,15,21,2023,IND
3558,48,45,45,2023-01-16,@,MIL,L,119,132,43,84,.512,19,40,.475,14,15,.933,4,37,29,6,5,15,17,48,91,.527,23,46,.500,13,15,.867,9,41,32,9,1,13,14,2023,IND
3559,49,46,46,2023-01-18,@,OKC,L,106,126,39,94,.415,12,33,.364,16,24,.667,20,48,23,9,10,23,19,47,93,.505,16,38,.421,16,21,.762,13,42,41,12,7,17,25,2023,IND
3560,50,47,47,2023-01-20,@,DEN,L,111,134,37,84,.440,8,32,.250,29,37,.784,16,39,23,7,2,21,18,51,83,.614,14,28,.500,18,26,.692,12,38,38,16,4,16,28,2023,IND
3561,51,48,48,2023-01-21,@,PHO,L,107,112,36,96,.375,13,37,.351,22,26,.846,11,48,22,10,4,14,29,38,91,.418,12,31,.387,24,35,.686,14,55,27,9,8,15,20,2023,IND
3562,52,49,49,2023-01-24,,CHI,W,116,110,42,99,.424,10,37,.270,22,28,.786,14,45,24,9,10,6,21,43,88,.489,5,24,.208,19,25,.760,11,45,19,5,5,16,23,2023,IND
3563,53,50,50,2023-01-25,@,ORL,L,120,126,41,85,.482,15,35,.429,23,29,.793,10,32,25,14,5,14,20,46,82,.561,15,28,.536,19,25,.760,9,34,34,8,7,17,22,2023,IND
3564,54,51,51,2023-01-27,,MIL,L,131,141,49,89,.551,13,33,.394,20,28,.714,5,38,22,10,4,13,24,52,98,.531,18,43,.419,19,31,.613,14,50,32,11,3,16,20,2023,IND
3565,55,52,52,2023-01-29,@,MEM,L,100,112,36,79,.456,9,32,.281,19,21,.905,11,38,21,4,6,17,22,43,89,.483,9,37,.243,17,22,.773,15,41,29,10,8,7,21,2023,IND
3566,56,53,53,2023-02-02,,LAL,L,111,112,45,93,.484,16,41,.390,5,6,.833,6,46,30,8,6,16,21,42,92,.457,6,22,.273,22,31,.710,13,51,29,8,5,13,10,2023,IND
3567,57,54,54,2023-02-03,,SAC,W,107,104,40,89,.449,17,41,.415,10,14,.714,9,47,28,13,5,16,18,37,86,.430,13,38,.342,17,20,.850,11,49,24,6,5,19,15,2023,IND
3568,58,55,55,2023-02-05,,CLE,L,103,122,40,92,.435,8,32,.250,15,22,.682,12,42,28,3,6,13,20,46,88,.523,15,37,.405,15,16,.938,8,46,33,7,5,12,20,2023,IND
3569,59,56,56,2023-02-08,@,MIA,L,111,116,38,78,.487,15,33,.455,20,28,.714,5,31,24,3,5,11,25,37,79,.468,6,19,.316,36,39,.923,15,48,21,7,3,11,22,2023,IND
3570,60,57,57,2023-02-10,,PHO,L,104,117,36,85,.424,11,39,.282,21,28,.750,11,38,23,9,3,15,16,43,93,.462,10,33,.303,21,24,.875,19,53,25,13,2,15,24,2023,IND
3571,61,58,58,2023-02-11,@,WAS,L,113,127,43,95,.453,14,40,.350,13,17,.765,17,33,27,8,3,7,18,48,75,.640,12,26,.462,19,22,.864,8,40,32,5,7,16,16,2023,IND
3572,62,59,59,2023-02-13,,UTA,L,117,123,46,91,.505,11,34,.324,14,20,.700,8,32,30,11,7,11,21,43,85,.506,15,33,.455,22,25,.880,11,46,24,5,3,18,17,2023,IND
3573,63,60,60,2023-02-15,,CHI,W,117,113,39,82,.476,18,43,.419,21,22,.955,6,41,27,6,5,17,19,41,84,.488,15,35,.429,16,21,.762,6,38,23,10,6,13,21,2023,IND
3576,66,61,61,2023-02-23,,BOS,L,138,142,49,94,.521,22,49,.449,18,22,.818,10,37,33,10,5,14,23,51,99,.515,18,39,.462,22,26,.846,20,51,31,7,6,15,18,2023,IND
3577,67,62,62,2023-02-25,@,ORL,W,121,108,48,99,.485,15,40,.375,10,14,.714,10,45,35,9,8,7,24,35,90,.389,6,29,.207,32,38,.842,15,55,16,4,8,13,19,2023,IND
3578,68,63,63,2023-02-28,@,DAL,W,124,122,41,78,.526,11,28,.393,31,40,.775,5,41,25,3,8,9,19,46,91,.505,12,37,.324,18,28,.643,9,38,28,5,3,7,29,2023,IND
3579,69,64,64,2023-03-02,@,SAS,L,99,110,41,90,.456,8,23,.348,9,11,.818,6,40,23,11,8,14,18,45,98,.459,10,32,.313,10,13,.769,13,50,31,5,6,15,14,2023,IND
3580,70,65,65,2023-03-05,@,CHI,W,125,122,48,94,.511,16,44,.364,13,16,.813,13,35,27,5,6,9,18,45,74,.608,10,22,.455,22,25,.880,4,33,18,6,3,14,20,2023,IND
3581,71,66,66,2023-03-06,,PHI,L,143,147,53,90,.589,15,37,.405,22,31,.710,5,30,28,8,4,9,24,48,82,.585,16,34,.471,35,38,.921,5,36,37,6,5,11,26,2023,IND
3582,72,67,67,2023-03-09,,HOU,W,134,125,48,100,.480,18,45,.400,20,21,.952,8,42,34,12,15,11,21,49,107,.458,6,17,.353,21,29,.724,20,58,18,6,6,16,22,2023,IND
3583,73,68,68,2023-03-11,@,DET,W,121,115,43,93,.462,9,35,.257,26,34,.765,18,58,24,7,6,14,20,43,94,.457,11,34,.324,18,27,.667,12,42,25,7,7,12,24,2023,IND
3584,74,69,69,2023-03-13,@,DET,L,97,117,36,86,.419,10,34,.294,15,24,.625,13,42,23,7,5,14,15,48,100,.480,14,36,.389,7,10,.700,19,52,28,10,5,14,21,2023,IND
3585,75,70,70,2023-03-16,@,MIL,W,139,123,54,97,.557,22,46,.478,9,15,.600,8,42,36,5,3,8,20,47,89,.528,11,32,.344,18,26,.692,9,44,26,5,4,12,16,2023,IND
3586,76,71,71,2023-03-18,,PHI,L,121,141,45,87,.517,12,31,.387,19,20,.950,12,41,28,5,5,14,17,54,88,.614,15,35,.429,18,22,.818,6,30,31,11,6,7,17,2023,IND
3587,77,72,72,2023-03-20,@,CHO,L,109,115,37,82,.451,9,26,.346,26,34,.765,13,48,27,5,6,21,26,41,90,.456,10,31,.323,23,32,.719,10,37,26,12,6,11,22,2023,IND
3588,78,73,73,2023-03-22,@,TOR,W,118,114,43,77,.558,11,21,.524,21,25,.840,8,39,27,4,5,18,29,39,89,.438,7,34,.206,29,39,.744,13,40,21,11,7,10,22,2023,IND
3589,79,74,74,2023-03-24,@,BOS,L,95,120,39,84,.464,4,26,.154,13,22,.591,6,44,24,9,4,17,16,44,93,.473,18,42,.429,14,19,.737,9,49,28,11,6,14,15,2023,IND
3590,80,75,75,2023-03-25,@,ATL,L,130,143,52,96,.542,14,37,.378,12,12,1.000,10,32,33,7,7,17,18,53,96,.552,15,30,.500,22,25,.880,15,42,33,10,8,11,14,2023,IND
3591,81,76,76,2023-03-27,,DAL,L,104,127,39,93,.419,8,28,.286,18,23,.783,14,43,20,6,3,13,19,47,83,.566,18,37,.486,15,17,.882,4,33,29,7,8,13,23,2023,IND
3592,82,77,77,2023-03-29,,MIL,L,136,149,53,101,.525,14,30,.467,16,22,.727,10,29,36,9,4,8,25,58,93,.624,10,25,.400,23,30,.767,14,52,28,5,5,18,18,2023,IND
3593,83,78,78,2023-03-31,,OKC,W,121,117,45,98,.459,12,41,.293,19,28,.679,20,56,30,5,4,15,21,42,88,.477,4,30,.133,29,34,.853,11,45,21,10,3,10,24,2023,IND
3594,84,79,79,2023-04-02,@,CLE,L,105,115,36,83,.434,9,24,.375,24,29,.828,11,44,21,5,6,15,26,44,90,.489,9,24,.375,18,26,.692,13,43,23,7,7,10,22,2023,IND
3595,85,80,80,2023-04-05,,NYK,L,129,138,45,87,.517,15,30,.500,24,30,.800,10,37,33,6,5,17,17,52,100,.520,18,46,.391,16,25,.640,20,52,34,13,8,14,21,2023,IND
3598,88,81,81,2023-04-07,,DET,L,115,122,41,83,.494,11,31,.355,22,28,.786,9,42,29,7,3,19,22,44,90,.489,13,31,.419,21,26,.808,10,42,24,12,6,13,24,2023,IND
3599,89,82,82,2023-04-09,@,NYK,W,141,136,46,89,.517,19,34,.559,30,38,.789,8,44,33,8,9,15,24,52,108,.481,15,40,.375,17,22,.773,19,53,29,8,8,15,24,2023,IND
3600,0,1,1,2022-10-19,@,MEM,L,112,115,44,109,.404,9,37,.243,15,18,.833,18,54,28,7,5,12,26,42,108,.389,17,50,.340,14,23,.609,20,64,27,6,7,13,17,2023,NYK
3601,1,2,2,2022-10-21,,DET,W,130,106,50,95,.526,16,38,.421,14,22,.636,11,50,29,4,6,12,26,39,90,.433,9,36,.250,19,32,.594,13,49,26,6,2,15,21,2023,NYK
3602,2,3,3,2022-10-24,,ORL,W,115,102,43,93,.462,11,37,.297,18,25,.720,18,50,24,7,3,13,24,36,86,.419,7,35,.200,23,27,.852,13,41,14,6,4,12,23,2023,NYK
3603,3,4,4,2022-10-26,,CHO,W,134,131,52,97,.536,11,30,.367,19,22,.864,12,46,26,5,11,16,24,49,99,.495,13,31,.419,20,30,.667,9,42,31,9,5,15,24,2023,NYK
3604,4,5,5,2022-10-28,@,MIL,L,108,119,37,93,.398,12,35,.343,22,32,.688,13,54,19,6,5,12,19,42,109,.385,13,45,.289,22,27,.815,19,60,23,8,8,6,23,2023,NYK
3605,5,6,6,2022-10-30,@,CLE,L,108,121,45,92,.489,10,27,.370,8,16,.500,12,45,26,9,2,14,25,41,89,.461,23,50,.460,16,19,.842,10,43,33,3,5,14,22,2023,NYK
3606,6,7,7,2022-11-02,,ATL,L,99,112,37,90,.411,10,36,.278,15,20,.750,12,52,23,3,9,16,19,44,107,.411,12,34,.353,12,16,.750,17,51,28,11,4,7,18,2023,NYK
3607,7,8,8,2022-11-04,@,PHI,W,106,104,37,80,.463,9,33,.273,23,27,.852,10,50,24,5,8,21,21,37,98,.378,13,47,.277,17,21,.810,13,44,27,12,8,15,25,2023,NYK
3608,8,9,9,2022-11-05,,BOS,L,118,133,46,90,.511,11,27,.407,15,16,.938,12,44,22,6,4,13,14,47,88,.534,27,51,.529,12,12,1.000,8,34,30,5,2,12,17,2023,NYK
3609,9,10,10,2022-11-07,@,MIN,W,120,107,39,89,.438,19,48,.396,23,25,.920,9,43,26,13,2,16,23,38,81,.469,11,41,.268,20,24,.833,4,39,28,7,8,17,18,2023,NYK
3610,10,11,11,2022-11-09,@,BRK,L,85,112,28,87,.322,12,43,.279,17,26,.654,11,46,21,5,4,15,18,42,87,.483,14,34,.412,14,20,.700,11,55,30,11,5,14,22,2023,NYK
3611,11,12,12,2022-11-11,,DET,W,121,112,42,94,.447,10,40,.250,27,29,.931,16,47,23,7,3,11,31,37,80,.463,7,31,.226,31,41,.756,12,43,22,6,6,15,23,2023,NYK
3612,12,13,13,2022-11-13,,OKC,L,135,145,48,97,.495,10,31,.323,29,33,.879,13,35,25,13,2,13,18,55,88,.625,17,31,.548,18,20,.900,4,38,31,9,5,19,27,2023,NYK
3613,13,14,14,2022-11-15,@,UTA,W,118,111,44,93,.473,11,32,.344,19,25,.760,13,43,26,10,3,12,25,36,83,.434,14,43,.326,25,30,.833,15,49,29,7,5,20,22,2023,NYK
3614,14,15,15,2022-11-16,@,DEN,W,106,103,37,84,.440,8,34,.235,24,31,.774,6,40,24,12,5,7,18,36,82,.439,14,38,.368,17,20,.850,8,42,18,3,5,15,25,2023,NYK
3615,15,16,16,2022-11-18,@,GSW,L,101,111,30,87,.345,9,34,.265,32,34,.941,13,45,16,8,7,16,16,41,91,.451,18,50,.360,11,20,.550,12,51,32,8,3,16,26,2023,NYK
3616,16,17,17,2022-11-20,@,PHO,L,95,116,34,85,.400,7,25,.280,20,25,.800,10,39,20,4,7,10,15,43,101,.426,17,39,.436,13,18,.722,22,60,35,3,8,13,22,2023,NYK
3617,17,18,18,2022-11-21,@,OKC,W,129,119,51,97,.526,11,34,.324,16,20,.800,14,48,21,10,2,13,28,43,88,.489,8,24,.333,25,32,.781,11,38,25,5,5,14,18,2023,NYK
3618,18,19,19,2022-11-25,,POR,L,129,132,46,105,.438,13,41,.317,24,28,.857,12,44,27,7,5,10,35,42,85,.494,10,32,.313,38,51,.745,13,48,24,3,3,12,24,2023,NYK
3619,19,20,20,2022-11-27,,MEM,L,123,127,44,87,.506,10,30,.333,25,30,.833,12,42,30,3,7,8,27,46,95,.484,12,32,.375,23,31,.742,16,50,32,4,2,10,23,2023,NYK
3622,22,21,21,2022-11-29,@,DET,W,140,110,54,96,.563,16,35,.457,16,21,.762,17,51,31,9,1,14,19,42,83,.506,13,39,.333,13,20,.650,7,30,28,7,4,16,17,2023,NYK
3623,23,22,22,2022-11-30,,MIL,L,103,109,42,100,.420,6,30,.200,13,20,.650,19,55,18,2,3,7,20,39,90,.433,10,35,.286,21,26,.808,14,52,23,3,6,5,15,2023,NYK
3624,24,23,23,2022-12-03,,DAL,L,100,121,35,77,.455,10,31,.323,20,28,.714,7,45,18,7,1,19,17,43,100,.430,24,61,.393,11,14,.786,14,50,27,7,5,11,20,2023,NYK
3625,25,24,24,2022-12-04,,CLE,W,92,81,35,86,.407,5,29,.172,17,21,.810,14,54,17,6,3,20,16,29,83,.349,8,35,.229,15,20,.750,8,39,17,7,6,17,15,2023,NYK
3626,26,25,25,2022-12-07,,ATL,W,113,89,37,83,.446,17,36,.472,22,24,.917,13,55,26,6,2,14,23,32,85,.376,6,36,.167,19,24,.792,11,39,16,4,6,11,17,2023,NYK
3627,27,26,26,2022-12-09,@,CHO,W,121,102,41,93,.441,13,34,.382,26,30,.867,16,48,25,6,7,11,21,37,84,.440,6,26,.231,22,28,.786,12,45,16,8,6,12,26,2023,NYK
3628,28,27,27,2022-12-11,,SAC,W,112,99,40,89,.449,8,35,.229,24,27,.889,15,55,19,8,4,14,22,33,83,.398,10,39,.256,23,35,.657,11,41,20,7,0,16,21,2023,NYK
3629,29,28,28,2022-12-14,@,CHI,W,128,120,45,91,.495,18,34,.529,20,25,.800,15,48,25,7,5,15,25,46,84,.548,9,28,.321,19,22,.864,3,31,25,6,7,12,18,2023,NYK
3630,30,29,29,2022-12-16,@,CHI,W,114,91,37,92,.402,17,44,.386,23,32,.719,15,50,19,13,2,10,13,36,77,.468,12,30,.400,7,8,.875,2,39,26,3,2,20,25,2023,NYK
3631,31,30,30,2022-12-18,@,IND,W,109,106,39,83,.470,8,26,.308,23,30,.767,14,49,13,7,9,16,21,39,90,.433,13,38,.342,15,23,.652,12,44,20,5,3,14,28,2023,NYK
3632,32,31,31,2022-12-20,,GSW,W,132,94,45,87,.517,17,40,.425,25,32,.781,14,47,27,8,1,11,15,35,74,.473,12,35,.343,12,13,.923,4,29,23,3,2,19,22,2023,NYK
3633,33,32,32,2022-12-21,,TOR,L,106,113,42,76,.553,11,26,.423,11,18,.611,9,38,25,2,3,16,19,42,94,.447,9,34,.265,20,22,.909,16,38,17,7,4,4,16,2023,NYK
3634,34,33,33,2022-12-23,,CHI,L,117,118,43,86,.500,16,35,.457,15,26,.577,12,47,23,2,4,10,17,45,93,.484,14,31,.452,14,18,.778,11,41,24,6,4,4,22,2023,NYK
3635,35,34,34,2022-12-25,,PHI,L,112,119,43,90,.478,12,32,.375,14,17,.824,12,46,30,4,6,8,19,39,77,.506,18,39,.462,23,29,.793,5,32,22,5,2,6,19,2023,NYK
3636,36,35,35,2022-12-27,@,DAL,L,121,126,45,103,.437,16,50,.320,15,24,.625,17,55,27,5,0,9,23,44,90,.489,13,46,.283,25,33,.758,7,47,20,4,5,9,25,2023,NYK
3637,37,36,36,2022-12-29,@,SAS,L,115,122,38,90,.422,15,41,.366,24,31,.774,13,38,20,7,2,12,21,45,88,.511,11,28,.393,21,29,.724,14,48,25,5,7,11,23,2023,NYK
3638,38,37,37,2022-12-31,@,HOU,W,108,88,35,90,.389,15,51,.294,23,32,.719,16,46,20,10,5,10,20,29,77,.377,14,46,.304,16,23,.696,12,52,20,4,6,24,24,2023,NYK
3639,39,38,38,2023-01-02,,PHO,W,102,83,36,74,.486,13,33,.394,17,25,.680,5,45,26,1,2,7,13,34,87,.391,10,37,.270,5,7,.714,5,36,22,4,0,8,17,2023,NYK
3640,40,39,39,2023-01-04,,SAS,W,117,114,45,94,.479,10,31,.323,17,26,.654,14,47,16,7,6,12,21,41,82,.500,11,28,.393,21,26,.808,9,38,25,5,3,15,24,2023,NYK
3641,41,40,40,2023-01-06,@,TOR,W,112,108,39,83,.470,16,37,.432,18,26,.692,13,51,19,3,4,11,23,35,83,.422,10,29,.345,28,35,.800,12,46,22,7,3,7,23,2023,NYK
3644,44,41,41,2023-01-09,,MIL,L,107,111,38,100,.380,11,41,.268,20,22,.909,18,48,16,8,1,7,14,39,89,.438,19,49,.388,14,18,.778,12,48,27,3,5,14,17,2023,NYK
3645,45,42,42,2023-01-11,,IND,W,119,113,38,84,.452,15,42,.357,28,33,.848,12,50,21,9,4,12,16,43,90,.478,12,39,.308,15,21,.714,8,41,27,8,5,13,25,2023,NYK
3646,46,43,43,2023-01-13,@,WAS,W,112,108,41,92,.446,8,29,.276,22,31,.710,14,54,15,3,6,7,23,36,93,.387,13,42,.310,23,26,.885,12,50,18,3,4,7,23,2023,NYK
3647,47,44,44,2023-01-15,@,DET,W,117,104,40,88,.455,12,30,.400,25,31,.806,18,52,17,3,6,6,12,37,83,.446,18,44,.409,12,15,.800,9,38,23,4,4,11,22,2023,NYK
3648,48,45,45,2023-01-16,,TOR,L,121,123,42,99,.424,9,31,.290,28,35,.800,20,54,17,3,5,11,28,38,96,.396,13,44,.295,34,41,.829,14,42,27,8,12,6,25,2023,NYK
3649,49,46,46,2023-01-18,,WAS,L,105,116,40,96,.417,7,26,.269,18,27,.667,20,49,14,9,4,9,20,42,95,.442,16,42,.381,16,19,.842,18,52,28,5,9,13,23,2023,NYK
3650,50,47,47,2023-01-20,@,ATL,L,124,139,49,83,.590,13,30,.433,13,17,.765,9,34,27,5,3,12,15,56,100,.560,13,34,.382,14,16,.875,14,39,27,6,4,7,16,2023,NYK
3651,51,48,48,2023-01-22,@,TOR,L,116,125,40,82,.488,18,41,.439,18,26,.692,14,47,30,4,4,16,24,41,90,.456,15,34,.441,28,35,.800,17,45,21,12,4,7,20,2023,NYK
